bundle_idx,origin_id,destination_id,node_id,point_number,point_type
20,590063067,57844131,188609814,5,other
20,590063067,57844131,832722601,6,other
20,590063067,57844131,387175347,7,other
20,590063067,57844131,590063067,8,origin
21,268579934,483561169,483561169,1,destination
21,268579934,483561169,230856687,2,other
21,268579934,483561169,918544568,3,other
21,268579934,483561169,53657788,4,other
21,268579934,483561169,188609814,5,other
21,268579934,483561169,832722601,6,other
21,268579934,483561169,387175347,7,other
21,268579934,483561169,268579934,8,origin
22,910685645,993578920,993578920,1,destination
22,910685645,993578920,230856687,2,other
22,910685645,993578920,918544568,3,other
22,910685645,993578920,53657788,4,other
22,910685645,993578920,188609814,5,other
22,910685645,993578920,832722601,6,other
22,910685645,993578920,387175347,7,other
22,910685645,993578920,910685645,8,origin
23,713150620,57844131,57844131,1,destination
23,713150620,57844131,230856687,2,other
23,713150620,57844131,918544568,3,other
23,713150620,57844131,53657788,4,other
23,713150620,57844131,188609814,5,other
23,713150620,57844131,672120753,6,other
23,713150620,57844131,144964080,7,other
23,713150620,57844131,713150620,8,origin
24,582082698,316419034,316419034,1,destination
24,582082698,316419034,230856687,2,other
24,582082698,316419034,918544568,3,other
24,582082698,316419034,53657788,4,other
24,582082698,316419034,188609814,5,other
24,582082698,316419034,672120753,6,other
24,582082698,316419034,144964080,7,other
24,582082698,316419034,918209348,8,other
24,582082698,316419034,918544568,9,other
24,582082698,316419034,53657788,10,other
24,582082698,316419034,582082698,11,origin
25,803454637,57844131,57844131,1,destination
25,803454637,57844131,230856687,2,other
25,803454637,57844131,145090883,3,other
25,803454637,57844131,387175347,4,other
25,803454637,57844131,803454637,5,origin
26,513075653,993578920,993578920,1,destination
26,513075653,993578920,230856687,2,other
26,513075653,993578920,918544568,3,other
26,513075653,993578920,53657788,4,other
26,513075653,993578920,188609814,5,other
26,513075653,993578920,672120753,6,other
26,513075653,993578920,144964080,7,other
26,513075653,993578920,918209348,8,other
26,513075653,993578920,832722601,9,other
26,513075653,993578920,387175347,10,other
26,513075653,993578920,513075653,11,origin
27,211200112,483561169,483561169,1,destination
27,211200112,483561169,230856687,2,other
27,211200112,483561169,918544568,3,other
27,211200112,483561169,53657788,4,other
27,211200112,483561169,188609814,5,other
27,211200112,483561169,672120753,6,other
