route_id,supplier_account,customer_account,point_account,point_number,point_type
32,662491052,483561169,832722601,3,pol
32,662491052,483561169,387175347,4,platform
32,662491052,483561169,662491052,5,supplier
33,581545898,483561169,483561169,1,plant
33,581545898,483561169,918209348,2,pod
33,581545898,483561169,918544568,3,pol
33,581545898,483561169,53657788,4,platform
33,581545898,483561169,853788440,5,platform
33,581545898,483561169,581545898,6,supplier
34,955465255,483561169,483561169,1,plant
34,955465255,483561169,918209348,2,pod
34,955465255,483561169,832722601,3,pol
34,955465255,483561169,387175347,4,platform
34,955465255,483561169,955465255,5,supplier
35,740030713,57844131,57844131,1,plant
35,740030713,57844131,918209348,2,pod
35,740030713,57844131,832722601,3,pol
35,740030713,57844131,387175347,4,platform
35,740030713,57844131,740030713,5,supplier
36,964369397,57844131,57844131,1,plant
36,964369397,57844131,918209348,2,pod
36,964369397,57844131,832722601,3,pol
36,964369397,57844131,387175347,4,platform
36,964369397,57844131,964369397,5,supplier
37,117724745,316419034,316419034,1,plant
37,117724745,316419034,918209348,2,pod
37,117724745,316419034,918544568,3,pol
37,117724745,316419034,314585116,4,platform
37,117724745,316419034,163230001,5,platform
37,117724745,316419034,419974127,6,platform
37,117724745,316419034,117724745,7,supplier
38,582082698,316419034,316419034,1,plant
38,582082698,316419034,918209348,2,pod
38,582082698,316419034,918544568,3,pol
38,582082698,316419034,314585116,4,platform
38,582082698,316419034,163230001,5,platform
38,582082698,316419034,582082698,6,supplier
39,816569071,316419034,316419034,1,plant
39,816569071,316419034,918209348,2,pod
39,816569071,316419034,832722601,3,pol
39,816569071,316419034,387175347,4,platform
39,816569071,316419034,816569071,5,supplier
40,28049792,316419034,316419034,1,plant
40,28049792,316419034,918209348,2,pod
40,28049792,316419034,832722601,3,pol
40,28049792,316419034,387175347,4,platform
40,28049792,316419034,28049792,5,supplier
41,531723235,483561169,483561169,1,plant
41,531723235,483561169,918209348,2,pod
41,531723235,483561169,832722601,3,pol
41,531723235,483561169,387175347,4,platform
41,531723235,483561169,531723235,5,supplier
42,531723235,993578920,993578920,1,plant
42,531723235,993578920,918209348,2,pod
42,531723235,993578920,832722601,3,pol
42,531723235,993578920,387175347,4,platform
42,531723235,993578920,531723235,5,supplier
43,587954344,993578920,993578920,1,plant
43,587954344,993578920,918209348,2,pod
43,587954344,993578920,918544568,3,pol
43,587954344,993578920,53657788,4,platform
43,587954344,993578920,853788440,5,platform
43,587954344,993578920,587954344,6,supplier
44,248825544,581313122,581313122,1,plant
44,248825544,581313122,248825544,2,supplier
45,274312922,57844131,57844131,1,plant
45,274312922,57844131,918209348,2,pod
45,274312922,57844131,832722601,3,pol
45,274312922,57844131,387175347,4,platform
45,274312922,57844131,274312922,5,supplier
46,559786200,993578920,993578920,1,plant
46,559786200,993578920,918209348,2,pod
46,559786200,993578920,832722601,3,pol
46,559786200,993578920,387175347,4,platform
46,559786200,993578920,559786200,5,supplier
47,613984115,57844131,57844131,1,plant
47,613984115,57844131,918209348,2,pod
47,613984115,57844131,918544568,3,pol
47,613984115,57844131,53657788,4,platform
47,613984115,57844131,613984115,5,supplier
48,467258853,483561169,483561169,1,plant
48,467258853,483561169,918209348,2,pod
48,467258853,483561169,832722601,3,pol
48,467258853,483561169,387175347,4,platform
48,467258853,483561169,467258853,5,supplier
