route_id,origin_id,destination_id,node_id,point_number,point_type
18,211284884,57844131,57844131,1,destination
18,211284884,57844131,918209348,2,other
18,211284884,57844131,918544568,3,other
18,211284884,57844131,314585116,4,other
18,211284884,57844131,163230001,5,other
18,211284884,57844131,419974127,6,other
18,211284884,57844131,211284884,7,origin
19,211284884,581313122,581313122,1,destination
19,211284884,581313122,20404874,2,other
19,211284884,581313122,918544568,3,other
19,211284884,581313122,314585116,4,other
19,211284884,581313122,163230001,5,other
19,211284884,581313122,419974127,6,other
19,211284884,581313122,211284884,7,origin
20,756320960,581313122,581313122,1,destination
20,756320960,581313122,756320960,2,origin
21,688983600,316419034,316419034,1,destination
21,688983600,316419034,918209348,2,other
21,688983600,316419034,832722601,3,other
21,688983600,316419034,387175347,4,other
21,688983600,316419034,180858621,5,other
21,688983600,316419034,688983600,6,origin
22,987683090,993578920,993578920,1,destination
22,987683090,993578920,918209348,2,other
22,987683090,993578920,918544568,3,other
22,987683090,993578920,314585116,4,other
22,987683090,993578920,163230001,5,other
22,987683090,993578920,987683090,6,origin
23,919854899,483561169,483561169,1,destination
23,919854899,483561169,918209348,2,other
23,919854899,483561169,832722601,3,other
23,919854899,483561169,387175347,4,other
23,919854899,483561169,919854899,5,origin
24,919854899,57844131,57844131,1,destination
24,919854899,57844131,918209348,2,other
24,919854899,57844131,832722601,3,other
24,919854899,57844131,387175347,4,other
24,919854899,57844131,919854899,5,origin
25,731584786,57844131,57844131,1,destination
25,731584786,57844131,918209348,2,other
25,731584786,57844131,918544568,3,other
25,731584786,57844131,53657788,4,other
25,731584786,57844131,853788440,5,other
25,731584786,57844131,731584786,6,origin
26,987033478,483561169,483561169,1,destination
26,987033478,483561169,987033478,2,origin
27,911087259,483561169,483561169,1,destination
27,911087259,483561169,918209348,2,other
27,911087259,483561169,918544568,3,other
27,911087259,483561169,53657788,4,other
27,911087259,483561169,911087259,5,origin
28,992268167,483561169,483561169,1,destination
28,992268167,483561169,918209348,2,other
28,992268167,483561169,918544568,3,other
28,992268167,483561169,53657788,4,other
28,992268167,483561169,188609814,5,other
28,992268167,483561169,832722601,6,other
28,992268167,483561169,387175347,7,other
28,992268167,483561169,992268167,8,origin
29,614789091,483561169,483561169,1,destination
29,614789091,483561169,918209348,2,other
29,614789091,483561169,832722601,3,other
29,614789091,483561169,387175347,4,other
29,614789091,483561169,614789091,5,origin
30,31326096,483561169,483561169,1,destination
30,31326096,483561169,918209348,2,other
30,31326096,483561169,918544568,3,other
30,31326096,483561169,53657788,4,other
30,31326096,483561169,31326096,5,origin
31,615472538,316419034,316419034,1,destination
31,615472538,316419034,918209348,2,other
31,615472538,316419034,918544568,3,other
31,615472538,316419034,53657788,4,other
31,615472538,316419034,615472538,5,origin
32,662491052,483561169,483561169,1,destination
32,662491052,483561169,918209348,2,other
32,662491052,483561169,832722601,3,other
32,662491052,483561169,387175347,4,other
32,662491052,483561169,662491052,5,origin
33,581545898,483561169,483561169,1,destination
33,581545898,483561169,918209348,2,other
33,581545898,483561169,918544568,3,other
33,581545898,483561169,53657788,4,other
33,581545898,483561169,853788440,5,other
33,581545898,483561169,581545898,6,origin
34,955465255,483561169,483561169,1,destination
34,955465255,483561169,918209348,2,other
34,955465255,483561169,832722601,3,other
34,955465255,483561169,387175347,4,other
